id,name,size,url,title,description,min_cpu,min_gpu,min_ram,rec_cpu,rec_gpu,rec_ram,rating,reviews_count,downloads,views,categories
25,FIFA 1998 WC,N/A,https://www.wifi4games.com/pc_games/FIFA_1998_WC.html,"تحميل مجموعة العاب  فيفا FIFA 98WC, 99, 2000, 2003",ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
26,PowerWash Simulator,N/A,https://www.wifi4games.com/pc_games/PowerWash_Simulator.html,تحميل لعبة باورواش سيموليتر PowerWash Simulator Wallace & Gromit,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
27,WWE 2K25,N/A,https://www.wifi4games.com/pc_games/WWE_2K25.html,تحميل لعبة المصارعة الحرة WWE 2K25,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
28,ARK: Ultimate Survivor Edition,N/A,https://www.wifi4games.com/pc_games/ARK:_Ultimate_Survivor_Edition.html,تحميل لعبة ARK: Survival Evolved-Ultimate Survivor Edition,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
29,MISIDE,N/A,https://www.wifi4games.com/pc_games/MISIDE.html,تحميل لعبة MISIDE,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
30,Yu-Gi-Oh! Early Days Collection,N/A,https://www.wifi4games.com/pc_games/Yu-Gi-Oh!_Early_Days_Collection.html,تحميل لعبة يو غي أوه Yu-Gi-Oh! Early Days Collection,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
31,Foundation,N/A,https://www.wifi4games.com/pc_games/Foundation.html,تحميل لعبة بناء المدن Foundation,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
32,Layers of Fear,N/A,https://www.wifi4games.com/pc_games/Layers_of_Fear_27.html,تحميل لعبة الرعب ليرز أوف فير Layers of Fear,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
33,Streamer Life Simulator 2,N/A,https://www.wifi4games.com/pc_games/Streamer_Life_Simulator_2.html,تحميل لعبة محاكي حياة الستريمر Streamer Life Simulator 2,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
34,Marvel's Spider-Man 2,N/A,https://www.wifi4games.com/pc_games/Marvel's_Spider-Man_2.html,تحميل لعبة سبايدر مان Marvel's Spider-Man 2,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
